id_pays;Country;Operations;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
6;Morocco;Revenue;23,18;24,18;26,31;28,88;26,48;24,78;25,13;25,91;25,73;25,90;24,15;24,16;24,36;24,24;23,95;27,00;24,18;25,93
6;Morocco;Taxes;19,38;19,82;22,09;24,48;21,67;21,09;21,53;22,09;20,65;20,35;19,44;19,87;20,13;20,29;19,91;20,02;19,55;21,24
6;Morocco;Social contributions;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
6;Morocco;Grants;0,30;0,38;0,34;0,31;0,35;0,22;0,15;0,05;0,63;1,38;0,46;0,83;0,99;0,36;0,26;0,43;0,11;0,11
6;Morocco;Other revenue;3,50;3,98;3,88;4,09;4,46;3,47;3,46;3,77;4,45;4,16;4,25;3,46;3,24;3,59;3,77;6,54;4,52;4,59
6;Morocco;Expense;25,98;23,44;23,72;24,83;24,13;25,02;27,16;27,52;25,73;25,42;23,06;22,77;22,68;22,86;23,39;27,21;25,48;27,09
6;Morocco;Compensation of employees;11,52;11,30;10,95;10,73;11,44;10,43;11,20;11,87;11,60;11,71;10,96;11,02;10,61;10,42;10,60;11,59;10,94;10,67
6;Morocco;Use of goods and services;3,94;2,22;2,05;2,27;2,14;2,26;2,27;2,30;2,22;2,36;2,33;2,43;2,33;2,48;2,52;2,87;3,51;2,73
6;Morocco;Consumption of fixed capital;;;;;;;;;;;;;;;;;;
6;Morocco;Interest;2,92;2,84;2,74;2,35;2,16;2,07;2,05;2,19;2,32;2,47;2,53;2,48;2,36;2,28;2,38;2,50;2,11;2,06
6;Morocco;Subsidies;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,98;4,28;3,26;1,30;1,29;1,33;1,48;1,30;1,17;1,70;3,04
6;Morocco;Grants;6,31;4,88;5,75;7,13;5,28;6,43;8,74;3,87;3,89;4,13;4,38;4,02;4,41;4,62;5,16;5,67;5,44;6,02
6;Morocco;Social benefits;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,02;0,18;0,21
6;Morocco;Other expense;1,30;2,20;2,21;2,36;3,11;3,84;2,89;1,32;1,43;1,47;1,55;1,53;1,64;1,57;1,44;1,38;1,59;2,36
